year,month,day,tmaxlow,tmax,tmaxup,tminlow,tmin,tminup,dtrlow,dtr,dtrup
1982,6,25,24.79,29.4,41.45,13.38,26.1,26.79,4.23,3.3,21.84
1982,7,3,24.99,33.9,40.76,13.69,31.1,26.9,3.31,2.8,21.85
1982,8,13,25.67,30.6,39.93,14.65,26.1,26.93,4.64,4.5,19.38
1982,10,24,13.26,12.8,35.5,-5.43,5.6,24.93,0.51,7.2,28.74
1983,4,19,14.62,14.4,37.49,-2.37,0.6,23.98,0.86,13.8,29.65
1983,8,15,25.26,28.3,40.03,14.64,13.9,26.65,3.72,14.4,20.28
1984,5,8,16.57,31.7,40.71,2.68,26.1,26.05,1.69,5.6,26.85
1985,1,21,-2.54,-1.7,34.82,-16.34,-17.8,20.62,-0.82,16.1,28.82
1985,6,3,22.78,42.2,41.31,8.4,23.9,27.17,4.21,18.3,24.31
1985,7,29,26.19,30,40.7,14.99,26.1,27.24,4.15,3.9,20.51
1985,8,4,25.32,30,40.54,15.15,15,26.33,3.98,15,20.4
1985,9,14,20.9,24.4,40.16,7.99,7.2,28.42,1.2,17.2,23.45
1986,8,30,23.3,22.8,40.7,13.67,13.3,26.01,3.37,9.5,20.94
1986,8,31,23.49,21.7,40.25,12.65,14.4,26.47,3.37,7.3,21.25
1988,4,29,15.51,24.4,38.48,-1.05,-1.1,25.16,2.5,25.5,27.37
1988,6,5,21.71,27.2,40.85,9.18,7.2,27.38,2.29,20,23.7
1988,6,11,23.5,26.7,40.41,10.49,9.4,26.66,2.97,17.3,23.79
1988,6,12,23.89,27.8,40.81,10.71,9.4,27.03,3.95,18.4,23.01
1988,6,13,22.35,30,41.57,11.33,10,26.78,2.33,20,23.48
1988,7,28,25.66,35,40.9,14.91,31.1,27.41,3.85,3.9,20.4
1989,4,11,10.44,10,37.94,-5.93,3.3,24.81,0.66,6.7,28.85
1989,8,9,26.31,23.9,39.97,14.34,17.2,27.17,4.85,6.7,19.92
1989,8,10,26.05,24.4,40.36,14.01,18.3,27.52,4.27,6.1,20.61
1989,8,11,25.43,25,40.54,14.87,18.3,26.64,4.3,6.7,20.14
1989,9,25,18.92,18.9,39.41,4.88,13.9,27.33,1.5,5,24.61
